"Zipcode","ZipCodeType","City","State","LocationType","Lat","Long","Location","Decommisioned","TaxReturnsFiled","EstimatedPopulation","TotalWages"
"03444","STANDARD","DUBLIN","NH","PRIMARY",42.91,-72.06,"NA-US-NH-DUBLIN","false",781,1417,32765403
"03824","STANDARD","DURHAM","NH","PRIMARY",43.13,-70.92,"NA-US-NH-DURHAM","false",3575,6150,198718115
"03861","STANDARD","LEE","NH","PRIMARY",43.10,-71.01,"NA-US-NH-LEE","false",1770,3124,89225948
"03231","PO BOX","EAST ANDOVER","NH","PRIMARY",43.48,-71.76,"NA-US-NH-EAST ANDOVER","false",,,
"03041","PO BOX","EAST DERRY","NH","PRIMARY",42.88,-71.27,"NA-US-NH-EAST DERRY","false",,,
"03826","STANDARD","EAST HAMPSTEAD","NH","PRIMARY",42.88,-71.13,"NA-US-NH-EAST HAMPSTEAD","false",1695,2837,77011536
"03827","STANDARD","EAST KINGSTON","NH","PRIMARY",42.92,-71.01,"NA-US-NH-EAST KINGSTON","false",1581,2860,79058524
"03605","STANDARD","LEMPSTER","NH","PRIMARY",43.23,-72.21,"NA-US-NH-LEMPSTER","false",486,837,15816778
"03445","STANDARD","SULLIVAN","NH","PRIMARY",43.01,-72.21,"NA-US-NH-SULLIVAN","false",390,655,13645968
"03457","STANDARD","NELSON","NH","PRIMARY",42.99,-72.12,"NA-US-NH-NELSON","false",368,628,14246721
"03446","STANDARD","SWANZEY","NH","PRIMARY",42.86,-72.28,"NA-US-NH-SWANZEY","false",2944,5037,110786553
"03830","STANDARD","EAST WAKEFIELD","NH","PRIMARY",43.64,-71.00,"NA-US-NH-EAST WAKEFIELD","false",687,1181,20027227
"03233","STANDARD","ELKINS","NH","PRIMARY",43.40,-71.94,"NA-US-NH-ELKINS","false",,,
"03748","STANDARD","ENFIELD","NH","PRIMARY",43.64,-72.14,"NA-US-NH-ENFIELD","false",2460,4101,108392458
"03749","PO BOX","ENFIELD CENTER","NH","PRIMARY",43.57,-72.11,"NA-US-NH-ENFIELD CENTER","false",,,
"03042","STANDARD","EPPING","NH","PRIMARY",43.03,-71.07,"NA-US-NH-EPPING","false",3209,5578,139460988
"03234","STANDARD","EPSOM","NH","PRIMARY",43.22,-71.33,"NA-US-NH-EPSOM","false",2357,4174,96794392
"03258","STANDARD","CHICHESTER","NH","PRIMARY",43.25,-71.39,"NA-US-NH-CHICHESTER","false",1221,2183,52973607
"03579","STANDARD","ERROL","NH","PRIMARY",44.78,-71.13,"NA-US-NH-ERROL","false",251,418,6004114
"03750","STANDARD","ETNA","NH","PRIMARY",43.71,-72.19,"NA-US-NH-ETNA","false",578,1061,50529367
"03833","STANDARD","EXETER","NH","PRIMARY",42.97,-70.94,"NA-US-NH-EXETER","false",10490,18286,571105228
"03835","STANDARD","FARMINGTON","NH","PRIMARY",43.40,-71.07,"NA-US-NH-FARMINGTON","false",3361,5843,116002252
"03447","STANDARD","FITZWILLIAM","NH","PRIMARY",42.78,-72.15,"NA-US-NH-FITZWILLIAM","false",1232,2092,46274444
"03043","STANDARD","FRANCESTOWN","NH","PRIMARY",42.98,-71.80,"NA-US-NH-FRANCESTOWN","false",812,1463,39778092
"03580","STANDARD","FRANCONIA","NH","PRIMARY",44.22,-71.74,"NA-US-NH-FRANCONIA","false",830,1362,28818933
"03235","STANDARD","FRANKLIN","NH","PRIMARY",43.45,-71.66,"NA-US-NH-FRANKLIN","false",4047,6820,125509457
"03836","STANDARD","FREEDOM","NH","PRIMARY",43.81,-71.03,"NA-US-NH-FREEDOM","false",686,1205,19716447
"03044","STANDARD","FREMONT","NH","PRIMARY",42.99,-71.14,"NA-US-NH-FREMONT","false",1998,3744,101363128
"03751","PO BOX","GEORGES MILLS","NH","PRIMARY",43.42,-72.07,"NA-US-NH-GEORGES MILLS","false",310,491,12152939
"03237","STANDARD","GILMANTON","NH","PRIMARY",43.42,-71.41,"NA-US-NH-GILMANTON","false",1205,2180,52188597
"03837","STANDARD","GILMANTON IRON WORKS","NH","PRIMARY",43.43,-71.34,"NA-US-NH-GILMANTON IRON WORKS","false",628,1175,24869923
"03448","STANDARD","GILSUM","NH","PRIMARY",43.05,-72.26,"NA-US-NH-GILSUM","false",413,701,15130666
"03838","STANDARD","GLEN","NH","PRIMARY",44.10,-71.17,"NA-US-NH-GLEN","false",795,1241,25120763
